PAGE_NO,TOTAL_ANNOTATION,DEVICE_NAME,CREATED_DATE,PROCESS_STAGE,BROWSER_VERSION,BROWSER_NAME,CATEGORY_ERROR,YEAR,TIME_BIN,IS_WEEKEND,MONTH
1,2,Desktop,2025-03-25 10:00:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: An error occurred while starting a transaction on the provider connection. See the inner exception for details. ---> ,134.0.0.0,Chrome,Other,2025,Morning,False,3
2,4,Mobile,2024-05-19 14:42:00,Passing Parameter,124.0.0.0,Chrome,PassingParam,2024,Afternoon,True,5
2,4,Mobile,2024-05-19 14:38:00,Passing Parameter,124.0.0.0,Chrome,PassingParam,2024,Afternoon,True,5
1,4,Desktop,2025-02-04 15:30:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: A connection that was expected to be kept alive was closed by the server..,132.0.0.0,Chrome,DocEditor_connection_closed,2025,Afternoon,False,2
5,1,Desktop,2025-03-05 12:21:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,133.0.0.0,Chrome,DocEditor_DbUpdateErrEntries,2025,Afternoon,False,3
1,4,Desktop,2025-02-24 15:36:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,133.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Afternoon,False,2
2,5,Desktop,2025-02-24 09:34:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
2,5,Desktop,2025-02-24 09:32:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
4,10,Desktop,2025-02-24 09:29:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
3,15,Desktop,2025-02-24 09:32:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
2,5,Desktop,2025-02-24 09:30:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
3,15,Desktop,2025-02-24 09:30:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
3,15,Desktop,2025-02-24 09:31:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,2
1,1,Desktop,2025-02-13 10:19:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,135.0.0.0,Firefox,DocEditor_ConnectionTimeout,2025,Morning,False,2
1,2,Desktop,2025-03-19 10:48:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,134.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Morning,False,3
1,4,Desktop,2024-06-13 11:35:00,Passing Parameter,125.0.0.0,Chrome,PassingParam,2024,Morning,False,6
1,1,Desktop,2025-03-25 12:54:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityCommandExecutionException: An error occurred while executing the command definition. See the inner exception for details. ---> S,134.0.0.0,Chrome,Other,2025,Afternoon,False,3
1,19,Desktop,2025-03-26 15:05:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,134.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Afternoon,False,3
1,2,Desktop,2025-02-13 17:07:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,109.0.0.0,Chrome,DocEditor_DbUpdateErrEntries,2025,Evening,False,2
2,3,Desktop,2024-12-03 15:23:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: A connection that was expected to be kept alive was closed by the server..,131.0.0.0,Chrome,DocEditor_connection_closed,2024,Afternoon,False,12
4,3,Desktop,2024-03-13 11:32:00,Passing Parameter,122.0.0.0,Chrome,PassingParam,2024,Morning,False,3
1,3,Desktop,2025-03-03 11:01:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,132.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Morning,False,3
1,3,Desktop,2025-03-12 14:26:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityCommandExecutionException: An error occurred while executing the command definition. See the inner exception for details. ---> S,132.0.0.0,Chrome,Other,2025,Afternoon,False,3
1,2,Desktop,2025-02-20 11:53:00,Doc Editor : Passing Parameter,604.1,Safari,PassingParam,2025,Morning,False,2
1,2,Mobile,2025-02-20 11:57:00,Doc Editor : Passing Parameter,604.1,Safari,PassingParam,2025,Morning,False,2
1,1,Desktop,2024-07-15 08:33:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Morning,False,7
1,2,Desktop,2024-03-14 11:28:00,Passing Parameter,122.0.0.0,Chrome,PassingParam,2024,Morning,False,3
1,2,Desktop,2024-03-14 10:52:00,Passing Parameter,122.0.0.0,Chrome,PassingParam,2024,Morning,False,3
1,1,Desktop,2024-07-15 08:34:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Morning,False,7
1,2,Mobile,2024-08-09 16:11:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
1,2,Mobile,2024-08-09 16:15:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
1,2,Mobile,2024-08-09 16:09:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
1,2,Mobile,2024-08-09 16:08:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
1,1,Mobile,2024-08-09 16:37:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
2,4,Desktop,2024-12-02 15:09:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,126.0.0.0,Chrome,DocEditor_ReceiveError,2024,Afternoon,False,12
1,3,Desktop,2025-02-27 11:46:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,133.0.0.0,Chrome,DocEditor_ReceiveError,2025,Morning,False,2
4,4,Desktop,2024-11-27 16:26:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,133.0.0.0,Firefox,DocEditor_ReceiveError,2024,Afternoon,False,11
1,6,Desktop,2025-02-13 10:19:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,133.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Morning,False,2
2,28,Desktop,2025-03-04 11:01:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,135.0.0.0,Firefox,DocEditor_ConnectionTimeout,2025,Morning,False,3
2,9,Desktop,2025-03-24 11:07:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,136.0.0.0,Firefox,DocEditor_DbUpdateErrEntries,2025,Morning,False,3
1,4,Desktop,2024-04-05 15:33:00,Passing Parameter,120.0.0.0,Chrome,PassingParam,2024,Afternoon,False,4
2,3,Desktop,2024-02-05 14:25:00,Passing Parameter,120.0.0.0,Chrome,PassingParam,2024,Afternoon,False,2
1,2,Desktop,2025-01-15 11:27:00,Doc Editor : Passing Parameter,131.0.0.0,Chrome,PassingParam,2025,Morning,False,1
1,4,Desktop,2025-01-14 16:17:00,Doc Editor : Passing Parameter,131.0.0.0,Chrome,PassingParam,2025,Afternoon,False,1
2,5,Desktop,2025-01-14 12:15:00,Doc Editor : Passing Parameter,131.0.0.0,Chrome,PassingParam,2025,Afternoon,False,1
2,2,Desktop,2024-11-06 12:37:00,Doc Editor : Passing Parameter,129.0.0.0,Chrome,PassingParam,2024,Afternoon,False,11
1,2,Desktop,2025-01-15 11:24:00,Doc Editor : Passing Parameter,131.0.0.0,Chrome,PassingParam,2025,Morning,False,1
9,2,Desktop,2024-04-24 16:48:00,Passing Parameter,123.0.0.0,Chrome,PassingParam,2024,Afternoon,False,4
1,1,Mobile,2024-06-14 14:01:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Mobile,2024-06-14 14:02:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Mobile,2024-06-14 14:55:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Desktop,2024-06-16 07:59:00,Doc Editor : Passing Parameter,125.0.0.0,Chrome,PassingParam,2024,Morning,True,6
1,1,Mobile,2024-06-15 11:22:00,Passing Parameter,604.1,Safari,PassingParam,2024,Morning,True,6
1,1,Mobile,2024-06-15 11:25:00,Passing Parameter,604.1,Safari,PassingParam,2024,Morning,True,6
1,1,Mobile,2024-06-14 14:27:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Mobile,2024-06-14 15:04:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Mobile,2024-06-15 11:09:00,Passing Parameter,604.1,Safari,PassingParam,2024,Morning,True,6
1,1,Mobile,2024-06-15 11:15:00,Passing Parameter,604.1,Safari,PassingParam,2024,Morning,True,6
1,1,Mobile,2024-06-14 14:26:00,Passing Parameter,604.1,Safari,PassingParam,2024,Afternoon,False,6
1,1,Desktop,2025-03-19 10:48:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,134.0.0.0,Edge,DocEditor_ConnectionTimeout,2025,Morning,False,3
1,2,Desktop,2024-06-24 12:22:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,6
1,3,Desktop,2024-11-11 09:22:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,129.0.0.0,Chrome,DocEditor_ReceiveError,2024,Morning,False,11
2,3,Desktop,2024-07-30 15:22:00,Doc Editor : Passing Parameter,126.0.0.0,Chrome,PassingParam,2024,Afternoon,False,7
3,2,Desktop,2025-02-24 12:10:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,133.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Afternoon,False,2
1,3,Desktop,2024-12-02 15:09:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: A connection that was expected to be kept alive was closed by the server..,133.0.0.0,Firefox,DocEditor_connection_closed,2024,Afternoon,False,12
3,9,Desktop,2025-03-26 10:07:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Infrastructure.DbUpdateException: An error occurred while updating the entries. See the inner exception for details. ---> System.Data.Entit,134.0.0.0,Chrome,DocEditor_DbUpdateErrEntries,2025,Morning,False,3
1,5,Desktop,2024-01-22 17:03:00,Passing Parameter,121.0.0.0,Firefox,PassingParam,2024,Evening,False,1
